Date,Stock,Gap%,Open,Signal,Entry,SL,Target,Exit,Gross P&L,Charges,Net P&L,Result,Status
2026-01-02,ITC,-1.37,359.0,SHORT,357.2,358.99,351.84,351.84,13127,358,12769,TARGET,CLOSED
2026-01-05,,,0,,,,,,0,0,0,NO GAP,CLOSED
2026-01-06,HDFCBANK,-1.94,959.55,SHORT,954.75,959.52,940.43,,0,0,0,NO ENTRY,CLOSED
2026-01-07,TITAN,2.6,4218.8,LONG,4239.89,4218.69,4303.49,4303.49,13102,358,12744,TARGET,CLOSED
2026-01-08,HINDUNILVR,-1.25,2369.3,SHORT,2357.45,2369.24,2322.09,,0,0,0,NO ENTRY,CLOSED
2026-01-09,HCLTECH,1.73,1671.5,LONG,1679.86,1671.46,1705.06,,0,0,0,NO ENTRY,CLOSED
2026-01-12,,,0,,,,,,0,0,0,NO GAP,CLOSED
2026-01-13,HDFCBANK,1.18,947.6,LONG,952.34,947.58,966.63,,0,0,0,NO ENTRY,CLOSED
2026-01-14,,,0,,,,,,0,0,0,NO GAP,CLOSED
2026-01-16,INFY,3.52,1663.5,LONG,1671.82,1663.46,1696.9,1692.8,10973,358,10615,EOD EXIT,CLOSED
2026-01-19,ICICIBANK,-1.28,1395.8,SHORT,1388.82,1395.76,1367.99,1367.99,13123,358,12765,TARGET,CLOSED
2026-01-20,,,0,,,,,,0,0,0,NO GAP,CLOSED
2026-01-21,BHARTIARTL,-1.24,1971.3,SHORT,1961.44,1971.25,1932.02,,0,0,0,NO ENTRY,CLOSED
2026-01-22,MARUTI,1.01,15929.0,LONG,16008.64,15928.6,16248.77,,0,0,0,NO ENTRY,CLOSED
2026-01-23,,,0,,,,,,0,0,0,NO GAP,CLOSED
2026-01-27,KOTAKBANK,-2.73,412.9,SHORT,410.84,412.89,404.68,404.68,13115,358,12757,TARGET,CLOSED
2026-01-28,AXISBANK,2.03,1342.5,LONG,1349.21,1342.46,1369.45,,0,0,0,NO ENTRY,CLOSED
2026-01-29,LT,1.74,3860.0,LONG,3879.3,3859.9,3937.49,3937.49,13093,358,12735,TARGET,CLOSED
2026-01-30,TATASTEEL,-1.98,198.51,SHORT,197.52,198.51,194.56,194.56,13110,358,12752,TARGET,CLOSED
2026-02-03,ADANIENT,8.72,2193.9,LONG,2204.87,2193.85,2237.94,2193.85,-4364,358,-4722,SL HIT,CLOSED
2026-02-04,INFY,-5.27,1568.7,SHORT,1560.86,1568.66,1537.45,1537.45,13110,358,12752,TARGET,CLOSED
2026-02-05,,,0,,,,,,0,0,0,NO GAP,CLOSED
2026-02-06,NTPC,-1.23,362.5,SHORT,360.69,362.49,355.28,,0,0,0,NO ENTRY,CLOSED
2026-02-09,SBIN,4.88,1118.0,LONG,1123.59,1117.97,1140.44,1138.2,11367,358,11009,EOD EXIT,CLOSED
2026-02-10,,,0,,,,,,0,0,0,NO GAP,CLOSED
2026-02-11,TITAN,1.31,4350.2,LONG,4371.95,4350.09,4437.53,,0,0,0,NO ENTRY,CLOSED
2026-02-12,INFY,-2.88,1428.6,SHORT,1421.46,1428.57,1400.14,1400.14,13112,358,12754,TARGET,CLOSED
2026-02-13,INFY,-6.71,1291.1,SHORT,1284.64,1291.06,1265.37,,0,0,0,NO ENTRY,CLOSED
2026-02-16,,,0,,,,,,0,0,0,NO GAP,CLOSED
2026-02-17,,,0,,,,,,0,0,0,NO GAP,CLOSED
2026-02-18,,,0,,,,,,0,0,0,NO GAP,CLOSED
2026-02-19,INFY,1.01,1385.8,LONG,1392.73,1385.77,1413.62,1385.77,-4371,358,-4729,SL HIT,CLOSED
2026-02-20,,,0,,,,,,0,0,0,NO GAP,CLOSED
2026-02-23,AXISBANK,1.44,1387.4,LONG,1394.34,1387.37,1415.26,1387.37,-4370,358,-4728,SL HIT,CLOSED
2026-02-24,INFY,-2.67,1292.6,SHORT,1286.14,1292.57,1266.85,1272.7,9139,358,8781,EOD EXIT,CLOSED
2026-02-25,HCLTECH,1.01,1356.6,LONG,1363.38,1356.56,1383.83,1383.83,13108,358,12750,TARGET,CLOSED
2026-02-26,INFY,1.44,1308.5,LONG,1315.04,1308.46,1334.77,,0,0,0,NO ENTRY,CLOSED
2026-02-27,INFY,2.75,1326.5,LONG,1333.13,1326.46,1353.13,,0,0,0,NO ENTRY,CLOSED
2026-03-02,LT,-4.67,4078.7,SHORT,4058.31,4078.6,3997.44,4024.2,7334,358,6976,EOD EXIT,CLOSED
2026-03-04,ICICIBANK,-3.28,1329.7,SHORT,1323.05,1329.67,1303.2,,0,0,0,NO ENTRY,CLOSED
2026-03-05,TATASTEEL,1.24,198.5,LONG,199.49,198.49,202.48,202.48,13114,358,12756,TARGET,CLOSED
2026-03-06,LT,-1.08,3995.0,SHORT,3975.03,3994.91,3915.4,3951.5,5177,358,4819,EOD EXIT,CLOSED
2026-03-09,HDFCBANK,-4.02,822.65,SHORT,818.54,822.63,806.26,,0,0,0,NO ENTRY,CLOSED
2026-03-10,LT,2.31,3925.8,LONG,3945.43,3925.7,4004.61,,0,0,0,NO ENTRY,CLOSED
2026-03-11,,,0,,,,,,0,0,0,NO GAP,CLOSED
2026-03-12,ICICIBANK,-1.41,1276.4,SHORT,1270.02,1276.37,1250.97,,0,0,0,NO ENTRY,CLOSED
