Date,OR High,OR Low,Range,Signal,Entry,SL,Target,Exit,Gross P&L,Charges,Net P&L,Result,Status,Source
2026-02-19,25879.6,25750.7,128.9,SHORT,25750.7,25879.6,25557.4,25557.4,12564,912,11652,TARGET,CLOSED,BACKTEST
2026-02-20,25524.7,25380.3,144.4,LONG,25524.7,25380.3,25741.3,25571.9,3068,912,2156,EOD EXIT,CLOSED,BACKTEST
2026-02-23,25770.7,25627.2,143.5,,,,,,0,0,0,NO BREAKOUT,CLOSED,BACKTEST
2026-02-24,25641.8,25483.6,158.2,SHORT,25483.6,25641.8,25246.3,25421.2,4056,912,3144,EOD EXIT,CLOSED,BACKTEST
2026-02-25,25632.9,25512.9,120.0,LONG,25632.9,25512.9,25812.9,25512.9,-7800,912,-8712,SL HIT,CLOSED,BACKTEST
2026-02-26,25572.2,25488.3,83.9,,,,,,0,0,0,NO BREAKOUT,CLOSED,BACKTEST
2026-02-27,25470.2,25309.4,160.8,SHORT,25309.4,25470.2,25068.2,25167.9,9198,912,8286,EOD EXIT,CLOSED,BACKTEST
2026-03-02,24988.8,24722.0,266.8,,,,,,0,0,0,Range outside 50-250,CLOSED,BACKTEST
2026-03-04,24471.2,24306.6,164.6,,,,,,0,0,0,NO BREAKOUT,CLOSED,BACKTEST
2026-03-05,24656.5,24530.7,125.8,LONG,24656.5,24530.7,24845.2,24530.7,-8177,912,-9089,SL HIT,CLOSED,BACKTEST
2026-03-06,24688.1,24588.3,99.8,SHORT,24588.3,24688.1,24438.6,24438.6,9731,912,8819,TARGET,CLOSED,BACKTEST
2026-03-09,23958.1,23697.8,260.3,,,,,,0,0,0,Range outside 50-250,CLOSED,BACKTEST
2026-03-10,24296.9,24079.9,217.0,,,,,,0,0,0,NO BREAKOUT,CLOSED,BACKTEST
2026-03-11,24298.4,24109.8,188.6,SHORT,24109.8,24298.4,23826.9,23861.9,16113,912,15201,EOD EXIT,CLOSED,BACKTEST
2026-03-12,23696.3,23557.8,138.5,LONG,23696.3,23557.8,23904.0,23633.9,-4056,912,-4968,EOD EXIT,CLOSED,BACKTEST
2026-03-13,23491.9,23311.8,180.1,,,,,,0,0,0,NO BREAKOUT,CLOSED,BACKTEST
2026-03-16,23284.3,23106.4,177.9,SHORT,23106.4,23284.3,22839.6,23284.3,-11563,912,-12475,SL HIT,CLOSED,BACKTEST
2026-03-17,23536.8,23347.4,189.4,LONG,23536.8,23347.4,23820.9,23607.5,4596,912,3684,EOD EXIT,CLOSED,BACKTEST
2026-03-18,23754.3,23630.2,124.1,LONG,23754.3,23630.2,23940.5,23792.6,2489,912,1577,EOD EXIT,CLOSED,BACKTEST
2026-03-19,23371.8,23209.1,162.7,,,,,,0,0,0,NO BREAKOUT,CLOSED,BACKTEST
2026-03-20,23318.9,23130.6,188.3,,,,,,0,0,0,NO BREAKOUT,CLOSED,BACKTEST
2026-03-23,22838.3,22571.4,266.9,,,,,,0,0,0,Range outside 50-250,CLOSED,BACKTEST
2026-03-24,22897.7,22682.3,215.4,SHORT,22682.3,22897.7,22359.2,22897.7,-14001,912,-14913,SL HIT,CLOSED,BACKTEST
2026-03-25,23310.1,23067.8,242.3,LONG,23310.1,23067.8,23673.5,23300.7,-611,912,-1523,EOD EXIT,CLOSED,BACKTEST
2026-03-27,23173.6,22977.6,196.0,SHORT,22977.6,23173.6,22683.6,22815.2,10556,912,9644,EOD EXIT,CLOSED,BACKTEST
2026-03-30,22713.3,22472.9,240.4,SHORT,22472.9,22713.3,22112.3,22335.6,8925,912,8013,EOD EXIT,CLOSED,BACKTEST
2026-04-01,22941.0,22811.4,129.6,SHORT,22811.4,22941.0,22617.0,22671.7,9081,912,8169,EOD EXIT,CLOSED,BACKTEST
2026-04-02,22383.4,22183.3,200.1,,,,,,0,0,0,NO BREAKOUT,CLOSED,BACKTEST
2026-04-06,22785.8,22562.8,223.0,,,,,,0,0,0,NO BREAKOUT,CLOSED,BACKTEST
2026-04-07,22928.3,22720.4,207.9,LONG,22928.3,22720.4,23240.1,23109.2,11759,912,10847,EOD EXIT,CLOSED,BACKTEST
2026-04-08,23959.8,23836.9,122.9,LONG,23959.8,23836.9,24144.1,23994.8,2275,912,1363,EOD EXIT,CLOSED,BACKTEST
2026-04-09,23989.8,23760.6,229.2,,,,,,0,0,0,NO BREAKOUT,CLOSED,BACKTEST
2026-04-10,24001.2,23867.2,134.0,LONG,24001.2,23867.2,24202.2,24057.5,3659,912,2747,EOD EXIT,CLOSED,BACKTEST
2026-04-13,23693.7,23556.2,137.5,LONG,23693.7,23556.2,23900.0,23900.0,13409,912,12497,TARGET,CLOSED,BACKTEST
2026-04-15,24266.7,24146.7,120.0,,,,,,0,0,0,NO BREAKOUT,CLOSED,BACKTEST
2026-04-16,24400.1,24266.5,133.6,,,,,,0,0,0,NO BREAKOUT,CLOSED,BACKTEST
2026-04-17,24279.4,24109.4,170.0,LONG,24279.4,24109.4,24534.4,24354.6,4888,912,3976,EOD EXIT,CLOSED,BACKTEST
2026-04-21,24524.7,24357.2,167.5,LONG,24524.7,24357.2,24776.0,24573.0,3139,912,2227,EOD EXIT,CLOSED,BACKTEST
2026-04-22,24515.8,24354.2,161.6,,,,,,0,0,0,NO BREAKOUT,CLOSED,BACKTEST
2026-04-23,24309.9,24138.8,171.1,,,,,,0,0,0,NO BREAKOUT,CLOSED,BACKTEST
2026-04-24,24203.3,23944.8,258.5,,,,,,0,0,0,Range outside 50-250,CLOSED,BACKTEST
2026-04-27,24107.3,23952.0,155.3,,,,,,0,0,0,NO BREAKOUT,CLOSED,BACKTEST
2026-04-28,24167.9,24001.3,166.6,LONG,24167.9,24001.3,24417.8,24001.3,-10829,912,-11741,SL HIT,CLOSED,BACKTEST
2026-04-29,24235.8,24060.7,175.1,LONG,24235.8,24060.7,24498.5,24170.2,-4264,912,-5176,EOD EXIT,CLOSED,BACKTEST
2026-04-30,24005.7,23824.9,180.8,SHORT,23824.9,24005.7,23553.7,24005.7,-11752,912,-12664,SL HIT,CLOSED,BACKTEST
2026-05-04,24289.2,24096.2,193.0,,,,,,0,0,0,NO BREAKOUT,CLOSED,BACKTEST
2026-05-05,24070.1,23949.8,120.3,SHORT,23949.8,24070.1,23769.3,24070.1,-7819,912,-8731,SL HIT,CLOSED,BACKTEST
