Month,Stock,Entry,Exit,P&L%,Status
2025-01,SKIPPED,,,,SKIPPED
2025-02,SKIPPED,,,,SKIPPED
2025-03,SBICARD,881.1,873.55,-0.86,CLOSED
2025-03,SRF,2939.15,3008.9,2.37,CLOSED
2025-03,BAJFINANCE,894.56,863.45,-3.48,CLOSED
2025-04,INDIGO,5249.5,5330.0,1.53,CLOSED
2025-04,SBILIFE,1765.8,1812.2,2.63,CLOSED
2025-04,UPL,669.9,627.9,-6.27,CLOSED
2025-05,BEL,384.6,421.5,9.59,CLOSED
2025-05,ADANIPORTS,1432.8,1450.2,1.21,CLOSED
2025-05,HDFCLIFE,776.85,814.3,4.82,CLOSED
2025-06,BEL,421.5,383.1,-9.11,CLOSED
2025-06,UNIONBANK,153.6,130.96,-14.74,CLOSED
2025-06,ADANIPORTS,1450.2,1373.1,-5.32,CLOSED
2025-07,SKIPPED,,,,SKIPPED
2025-08,SKIPPED,,,,SKIPPED
2025-09,SKIPPED,,,,SKIPPED
2025-10,HEROMOTOCO,5544.0,6174.5,11.37,CLOSED
2025-10,MARUTI,16186.0,15900.0,-1.77,CLOSED
2025-10,EICHERMOT,7007.0,7053.5,0.66,CLOSED
2025-11,CANBK,151.58,154.91,2.2,CLOSED
2025-11,MUTHOOTFIN,3744.2,3811.7,1.8,CLOSED
2025-11,BANKBARODA,289.8,295.9,2.1,CLOSED
