Date,Stock,Direction,OR High,OR Low,OR%,OR Close Pos,Entry,Entry Time,SL,Target,Exit,Exit Reason,P&L,Status
2026-01-01,MAHABANK,SHORT,62.5,61.7,1.28,0.14,61.7,09:39:00,62.3,59.3,62.3,SL,-2026,CLOSED
2026-01-01,DRREDDY,SHORT,1270.0,1255.0,1.18,0.09,1255.0,09:55:00,1266.25,1210.0,1254.0,EOD,59,CLOSED
2026-01-01,LTTS,SHORT,4515.0,4463.0,1.17,0.23,4463.0,09:47:00,4502.0,4307.0,4375.3,EOD,3909,CLOSED
2026-01-02,HINDALCO,LONG,908.7,896.55,1.35,0.94,908.7,09:37:00,899.59,945.15,925.35,EOD,3565,CLOSED
2026-01-02,MPHASIS,SHORT,2844.3,2806.0,1.35,0.08,2806.0,09:43:00,2834.73,2691.1,2806.0,EOD,-100,CLOSED
2026-01-02,VEDL,LONG,228.8,226.07,1.21,0.84,228.8,09:38:00,226.75,236.99,230.88,EOD,1718,CLOSED
2026-01-05,SUNTECK,SHORT,427.4,421.05,1.49,0.13,421.05,09:42:00,425.81,402.0,423.65,EOD,-1327,CLOSED
2026-01-05,FEDERALBNK,SHORT,267.1,263.35,1.4,0.03,263.35,09:50:00,266.16,252.1,263.75,EOD,-403,CLOSED
2026-01-05,CANBK,SHORT,157.6,155.44,1.39,0.17,155.44,09:40:00,157.06,148.96,154.31,EOD,1365,CLOSED
2026-01-06,FEDERALBNK,SHORT,265.0,261.05,1.5,0.1,261.05,09:52:00,264.01,249.2,256.55,EOD,3408,CLOSED
2026-01-06,BANKINDIA,LONG,152.19,149.99,1.47,0.89,152.19,09:36:00,150.54,158.79,150.54,SL,-2268,CLOSED
2026-01-06,KOTAKBANK,SHORT,445.6,439.4,1.41,0.02,439.4,09:36:00,444.05,420.8,429.44,EOD,4539,CLOSED
2026-01-07,SOBHA,SHORT,1558.3,1536.0,1.44,0.26,1536.0,09:52:00,1552.72,1469.1,1529.5,EOD,750,CLOSED
2026-01-07,NESTLEIND,LONG,1323.0,1304.2,1.43,0.79,1323.0,09:36:00,1308.9,1379.4,1316.0,EOD,-1158,CLOSED
2026-01-07,IOC,SHORT,165.0,162.8,1.34,0.05,162.8,09:44:00,164.45,156.2,162.84,EOD,-149,CLOSED
2026-01-08,LUPIN,SHORT,2221.0,2191.0,1.35,0.04,2191.0,09:36:00,2213.5,2101.0,2189.7,EOD,19,CLOSED
2026-01-08,BRITANNIA,SHORT,6158.5,6079.5,1.28,0.06,6079.5,09:43:00,6138.75,5842.5,6038.5,EOD,1258,CLOSED
