Date,Stock,OR High,OR Low,Range%,Signal,Entry,SL,Target,Exit,Gross P&L,Charges,Net P&L,Result,Status
2025-01-02,BAJFINANCE,714.26,697.1,2.43,LONG,714.26,679.94,765.74,741.68,33589,358,33231,EOD,CLOSED
2025-01-03,ITC,491.0,484.25,1.38,SHORT,484.25,497.75,464.0,481.45,5057,358,4699,EOD,CLOSED
2025-01-06,BAJFINANCE,759.83,742.0,2.37,LONG,759.83,724.17,813.32,737.28,-25955,358,-26313,EOD,CLOSED
2025-01-07,BAJFINANCE,744.69,735.5,1.24,SHORT,735.5,753.88,707.93,735.61,-131,358,-489,EOD,CLOSED
2025-01-09,ITC,450.9,446.05,1.08,LONG,450.9,441.2,465.45,450.1,-1552,358,-1910,EOD,CLOSED
2025-01-10,SBIN,763.4,750.35,1.72,SHORT,750.35,776.45,711.2,745.7,5422,358,5064,EOD,CLOSED
2025-01-13,AXISBANK,1047.7,1023.25,2.36,LONG,1047.7,998.8,1121.05,1045.25,-2046,358,-2404,EOD,CLOSED
2025-01-14,SBIN,745.9,732.95,1.75,LONG,745.9,720.0,784.75,754.0,9501,358,9143,EOD,CLOSED
2025-01-15,BAJFINANCE,735.0,724.41,1.45,SHORT,724.41,745.59,692.64,716.35,9728,358,9370,EOD,CLOSED
2025-01-17,RELIANCE,1326.0,1292.65,2.55,SHORT,1292.65,1359.35,1192.6,1304.7,-8146,358,-8504,EOD,CLOSED
2025-01-20,BHARTIARTL,1644.25,1619.0,1.55,SHORT,1619.0,1669.5,1543.25,1641.75,-12285,358,-12643,EOD,CLOSED
2025-01-22,INFY,1829.5,1805.15,1.34,LONG,1829.5,1780.8,1902.55,1860.55,14842,358,14484,EOD,CLOSED
2025-01-24,TCS,4168.85,4104.0,1.57,LONG,4168.85,4039.15,4363.4,4152.35,-3448,358,-3806,EOD,CLOSED
2025-01-27,ICICIBANK,1219.0,1193.1,2.15,LONG,1219.0,1167.2,1296.7,1226.65,5485,358,5127,EOD,CLOSED
2025-01-28,INFY,1858.7,1830.0,1.56,LONG,1858.7,1801.3,1944.8,1838.25,-9612,358,-9970,EOD,CLOSED
2025-01-31,BHARTIARTL,1639.1,1597.05,2.6,SHORT,1597.05,1681.15,1470.9,1626.9,-16328,358,-16686,EOD,CLOSED
2025-02-01,ITC,450.95,444.55,1.43,LONG,450.95,438.15,470.15,470.15,37248,358,36890,TGT,CLOSED
2025-02-03,BHARTIARTL,1638.1,1608.1,1.85,LONG,1638.1,1578.1,1728.1,1653.1,8010,358,7652,EOD,CLOSED
2025-02-04,ITC,460.35,451.5,1.94,SHORT,451.5,469.2,424.95,452.95,-2809,358,-3167,EOD,CLOSED
2025-02-05,BAJFINANCE,858.87,846.19,1.49,SHORT,846.19,871.55,808.15,850.68,-4643,358,-5001,EOD,CLOSED
2025-02-07,BHARTIARTL,1682.9,1635.0,2.89,LONG,1682.9,1587.1,1826.6,1670.1,-6643,358,-7001,EOD,CLOSED
2025-02-10,ITC,432.4,427.0,1.26,LONG,432.4,421.6,448.6,427.65,-9609,358,-9967,EOD,CLOSED
2025-02-11,SBIN,740.15,730.25,1.35,SHORT,730.25,750.05,700.55,728.2,2456,358,2098,EOD,CLOSED
2025-02-12,AXISBANK,1004.95,988.5,1.65,SHORT,988.5,1021.4,939.15,1001.8,-11770,358,-12128,EOD,CLOSED
2025-02-18,BHARTIARTL,1695.95,1668.2,1.65,SHORT,1668.2,1723.7,1584.95,1670.45,-1179,358,-1537,EOD,CLOSED
2025-02-20,ITC,402.55,396.2,1.59,LONG,402.55,389.85,421.6,402.1,-978,358,-1336,EOD,CLOSED
2025-02-21,AXISBANK,1021.9,1012.0,0.97,SHORT,1012.0,1031.8,982.3,1004.5,6480,358,6122,EOD,CLOSED
2025-02-24,HDFCBANK,842.1,832.5,1.15,SHORT,832.5,851.7,803.7,837.1,-4835,358,-5193,EOD,CLOSED
2025-02-25,INFY,1770.35,1745.15,1.43,LONG,1770.35,1719.95,1845.95,1764.85,-2717,358,-3075,EOD,CLOSED
2025-02-27,BAJFINANCE,870.4,854.26,1.87,LONG,870.4,838.12,918.82,872.16,1769,358,1411,EOD,CLOSED
2025-02-28,INFY,1755.1,1720.25,2.01,SHORT,1720.25,1789.95,1615.7,1689.5,15621,358,15263,EOD,CLOSED
2025-03-03,ITC,399.0,391.2,1.97,LONG,399.0,383.4,422.4,397.6,-3069,358,-3427,EOD,CLOSED
2025-03-04,SBIN,708.9,692.1,2.4,LONG,708.9,675.3,759.3,718.0,11229,358,10871,EOD,CLOSED
2025-03-05,TCS,3574.0,3520.85,1.5,LONG,3574.0,3467.7,3733.45,3555.4,-4538,358,-4896,EOD,CLOSED
2025-03-06,INFY,1718.85,1693.0,1.52,SHORT,1693.0,1744.7,1615.45,1709.4,-8462,358,-8820,EOD,CLOSED
2025-03-07,AXISBANK,1042.8,1030.7,1.17,LONG,1042.8,1018.6,1079.1,1034.6,-6880,358,-7238,EOD,CLOSED
2025-03-11,INFY,1680.0,1651.0,1.74,SHORT,1651.0,1709.0,1564.0,1657.05,-3200,358,-3558,EOD,CLOSED
2025-03-12,INFY,1636.9,1599.25,2.33,SHORT,1599.25,1674.55,1486.3,1576.75,12308,358,11950,EOD,CLOSED
2025-03-17,BAJFINANCE,858.9,838.6,2.39,LONG,858.9,818.3,919.8,859.86,977,358,619,EOD,CLOSED
2025-03-18,AXISBANK,1054.25,1035.65,1.78,SHORT,1035.65,1072.85,979.85,1042.0,-5359,358,-5717,EOD,CLOSED
2025-03-26,BHARTIARTL,1759.0,1733.1,1.48,LONG,1759.0,1707.2,1836.7,1734.2,-12326,358,-12684,EOD,CLOSED
2025-03-27,AXISBANK,1103.4,1088.1,1.4,LONG,1103.4,1072.8,1149.3,1102.45,-753,358,-1111,EOD,CLOSED
2025-03-28,INFY,1598.45,1576.85,1.36,SHORT,1576.85,1620.05,1512.05,1572.45,2438,358,2080,EOD,CLOSED
2025-04-01,BHARTIARTL,1754.7,1708.45,2.67,LONG,1754.7,1662.2,1893.45,1726.8,-13894,358,-14252,EOD,CLOSED
2025-04-02,BHARTIARTL,1741.45,1716.95,1.42,LONG,1741.45,1692.45,1814.95,1748.25,3414,358,3056,EOD,CLOSED
2025-04-03,INFY,1534.65,1505.0,1.95,SHORT,1505.0,1564.3,1416.05,1497.85,4154,358,3796,EOD,CLOSED
2025-04-04,RELIANCE,1245.45,1221.0,1.98,SHORT,1221.0,1269.9,1147.65,1200.2,14893,358,14535,EOD,CLOSED
2025-04-17,ICICIBANK,1378.0,1360.1,1.31,LONG,1378.0,1342.2,1431.7,1400.0,13948,358,13590,EOD,CLOSED
2025-04-23,INFY,1471.0,1439.6,2.16,LONG,1471.0,1408.2,1565.2,1476.2,3089,358,2731,EOD,CLOSED
2025-04-24,AXISBANK,1214.0,1199.1,1.23,LONG,1214.0,1184.2,1258.7,1213.9,-72,358,-430,EOD,CLOSED
2025-04-28,RELIANCE,1344.0,1320.2,1.79,LONG,1344.0,1296.4,1415.4,1370.0,16926,358,16568,EOD,CLOSED
2025-04-29,RELIANCE,1390.8,1370.0,1.51,LONG,1390.8,1349.2,1453.2,1404.7,8743,358,8385,EOD,CLOSED
2025-05-06,SBIN,799.15,783.5,1.98,SHORT,783.5,814.8,736.55,776.15,8203,358,7845,EOD,CLOSED
2025-05-08,HDFCBANK,977.4,965.1,1.27,SHORT,965.1,989.7,928.2,967.75,-2401,358,-2759,EOD,CLOSED
2025-05-09,SBIN,771.4,755.5,2.08,LONG,771.4,739.6,819.1,774.8,3856,358,3498,EOD,CLOSED
2025-05-13,BHARTIARTL,1883.7,1853.1,1.64,SHORT,1853.1,1914.3,1761.3,1823.2,14113,358,13755,EOD,CLOSED
2025-05-15,BAJFINANCE,920.0,905.0,1.64,SHORT,905.0,935.0,860.0,920.0,-14490,358,-14848,EOD,CLOSED
2025-05-16,SBIN,804.0,794.55,1.18,SHORT,794.55,813.45,766.2,793.3,1376,358,1018,EOD,CLOSED
2025-05-20,BAJFINANCE,931.0,921.0,1.08,SHORT,921.0,941.0,891.0,910.95,9547,358,9189,EOD,CLOSED
2025-05-23,INFY,1569.8,1550.0,1.27,LONG,1569.8,1530.2,1629.2,1572.6,1560,358,1202,EOD,CLOSED
2025-05-26,RELIANCE,1438.6,1425.1,0.94,LONG,1438.6,1411.6,1479.1,1437.2,-851,358,-1209,EOD,CLOSED
2025-05-28,ITC,421.25,413.0,1.98,LONG,421.25,404.75,446.0,421.4,312,358,-46,EOD,CLOSED
2025-05-29,INFY,1608.9,1588.5,1.28,SHORT,1588.5,1629.3,1527.3,1581.7,3740,358,3382,EOD,CLOSED
2025-06-02,ICICIBANK,1460.0,1436.9,1.59,SHORT,1436.9,1483.1,1367.6,1442.8,-3587,358,-3945,EOD,CLOSED
2025-06-04,AXISBANK,1191.3,1177.8,1.14,SHORT,1177.8,1204.8,1137.3,1172.6,3858,358,3500,EOD,CLOSED
2025-06-05,RELIANCE,1441.1,1423.6,1.22,LONG,1441.1,1406.1,1493.6,1443.0,1153,358,795,EOD,CLOSED
2025-06-09,BAJFINANCE,955.0,940.3,1.55,LONG,955.0,925.6,999.1,961.5,5954,358,5596,EOD,CLOSED
2025-06-10,ICICIBANK,1441.7,1421.5,1.41,SHORT,1421.5,1461.9,1360.9,1423.5,-1230,358,-1588,EOD,CLOSED
2025-06-12,INFY,1620.1,1602.0,1.12,SHORT,1602.0,1638.2,1547.7,1610.4,-4586,358,-4944,EOD,CLOSED
2025-06-16,BAJFINANCE,956.0,931.5,2.6,SHORT,931.5,980.5,858.0,940.0,-7982,358,-8340,EOD,CLOSED
2025-06-20,INFY,1630.7,1615.5,0.94,SHORT,1615.5,1645.9,1569.9,1620.1,-2489,358,-2847,EOD,CLOSED
2025-06-23,INFY,1601.0,1582.1,1.19,SHORT,1582.1,1619.9,1525.4,1588.5,-3539,358,-3897,EOD,CLOSED
2025-06-25,BAJFINANCE,924.5,916.0,0.92,LONG,924.5,907.5,950.0,926.5,1892,358,1534,EOD,CLOSED
2025-06-26,BAJFINANCE,949.5,928.5,2.24,LONG,949.5,907.5,1012.5,950.0,460,358,102,EOD,CLOSED
2025-06-27,BAJFINANCE,959.5,937.5,2.32,SHORT,937.5,981.5,871.5,938.0,-466,358,-824,EOD,CLOSED
2025-06-30,AXISBANK,1236.0,1218.1,1.46,SHORT,1218.1,1253.9,1164.4,1198.0,14432,358,14074,EOD,CLOSED
2025-07-01,AXISBANK,1202.0,1187.0,1.26,SHORT,1187.0,1217.0,1142.0,1172.0,11055,358,10697,EOD,CLOSED
2025-07-02,INFY,1644.9,1616.0,1.77,LONG,1644.9,1587.1,1731.6,1608.3,-19435,358,-19793,EOD,CLOSED
2025-07-04,BAJFINANCE,935.55,922.0,1.46,LONG,935.55,908.45,976.2,923.05,-11688,358,-12046,EOD,CLOSED
2025-07-08,BAJFINANCE,927.4,918.8,0.93,LONG,927.4,910.2,953.2,923.4,-3772,358,-4130,EOD,CLOSED
2025-07-11,INFY,1592.5,1563.0,1.87,LONG,1592.5,1533.5,1681.0,1595.6,1702,358,1344,EOD,CLOSED
2025-07-16,INFY,1594.5,1578.5,1.01,LONG,1594.5,1562.5,1642.5,1609.9,8439,358,8081,EOD,CLOSED
2025-07-18,AXISBANK,1110.9,1086.0,2.27,LONG,1110.9,1061.1,1185.6,1103.5,-5824,358,-6182,EOD,CLOSED
2025-07-21,RELIANCE,1476.0,1440.6,2.43,SHORT,1440.6,1511.4,1334.4,1425.0,9469,358,9111,EOD,CLOSED
2025-07-22,BAJFINANCE,962.0,942.0,2.1,SHORT,942.0,982.0,882.0,955.4,-12435,358,-12793,EOD,CLOSED
2025-07-23,BAJFINANCE,965.5,953.65,1.23,LONG,965.5,941.8,1001.05,967.05,1404,358,1046,EOD,CLOSED
2025-07-25,BAJFINANCE,912.2,898.0,1.57,LONG,912.2,883.8,954.8,915.9,3548,358,3190,EOD,CLOSED
2025-07-30,BAJFINANCE,892.6,884.2,0.95,SHORT,884.2,901.0,859.0,882.6,1582,358,1224,EOD,CLOSED
2025-08-01,BAJFINANCE,884.95,874.3,1.21,LONG,884.95,863.65,916.9,881.7,-3211,358,-3569,EOD,CLOSED
2025-08-07,BAJFINANCE,875.0,867.25,0.89,LONG,875.0,859.5,898.25,877.1,2100,358,1742,EOD,CLOSED
2025-08-08,BHARTIARTL,1893.8,1868.8,1.33,SHORT,1868.8,1918.8,1793.8,1865.0,1778,358,1420,EOD,CLOSED
2025-08-11,SBIN,819.3,808.0,1.39,LONG,819.3,796.7,853.2,823.7,4695,358,4337,EOD,CLOSED
2025-08-12,BAJFINANCE,884.9,873.05,1.35,SHORT,873.05,896.75,837.5,856.15,16934,358,16576,EOD,CLOSED
2025-08-22,ITC,406.5,402.55,0.98,SHORT,402.55,410.45,390.7,398.7,8366,358,8008,EOD,CLOSED
2025-08-26,HDFCBANK,985.7,970.1,1.6,SHORT,970.1,1001.3,923.3,972.5,-2162,358,-2520,EOD,CLOSED
2025-08-28,RELIANCE,1389.9,1368.0,1.59,SHORT,1368.0,1411.8,1302.3,1381.1,-8371,358,-8729,EOD,CLOSED
2025-08-29,ITC,407.35,401.9,1.35,LONG,407.35,396.45,423.7,410.0,5692,358,5334,EOD,CLOSED
2025-09-02,RELIANCE,1378.6,1354.5,1.76,LONG,1378.6,1330.4,1450.9,1366.2,-7862,358,-8220,EOD,CLOSED
2025-09-05,ITC,417.0,407.7,2.26,SHORT,407.7,426.3,379.8,406.75,2039,358,1681,EOD,CLOSED
2025-09-08,INFY,1458.0,1445.0,0.9,SHORT,1445.0,1471.0,1406.0,1433.0,7260,358,6902,EOD,CLOSED
2025-09-10,TCS,3107.6,3053.4,1.76,LONG,3107.6,2999.2,3270.2,3104.6,-843,358,-1201,EOD,CLOSED
2025-09-11,INFY,1527.5,1512.7,0.97,SHORT,1512.7,1542.3,1468.3,1512.4,173,358,-185,EOD,CLOSED
2025-09-12,AXISBANK,1098.7,1088.4,0.94,LONG,1098.7,1078.1,1129.6,1106.3,6050,358,5692,EOD,CLOSED
2025-09-15,BAJFINANCE,1018.55,998.1,2.03,LONG,1018.55,977.65,1079.9,1009.35,-7903,358,-8261,EOD,CLOSED
2025-09-18,BAJFINANCE,1009.8,994.25,1.55,SHORT,994.25,1025.35,947.6,994.7,-396,358,-754,EOD,CLOSED
2025-09-19,INFY,1551.3,1530.5,1.35,SHORT,1530.5,1572.1,1468.1,1529.6,514,358,156,EOD,CLOSED
2025-09-22,INFY,1504.1,1482.0,1.48,LONG,1504.1,1459.9,1570.4,1495.0,-5287,358,-5645,EOD,CLOSED
2025-09-26,INFY,1478.7,1460.1,1.27,SHORT,1460.1,1497.3,1404.3,1445.1,8985,358,8627,EOD,CLOSED
2025-09-29,AXISBANK,1158.3,1135.0,2.03,SHORT,1135.0,1181.6,1065.1,1130.5,3465,358,3107,EOD,CLOSED
2025-10-01,BAJFINANCE,1000.0,988.15,1.19,SHORT,988.15,1011.85,952.6,984.6,3142,358,2784,EOD,CLOSED
2025-10-06,BAJFINANCE,1014.0,992.1,2.18,LONG,1014.0,970.2,1079.7,1009.6,-3793,358,-4151,EOD,CLOSED
2025-10-07,BAJFINANCE,1025.6,1008.9,1.64,LONG,1025.6,992.2,1075.7,1019.95,-4819,358,-5177,EOD,CLOSED
2025-10-08,INFY,1487.9,1455.0,2.24,LONG,1487.9,1422.1,1586.6,1491.3,1999,358,1641,EOD,CLOSED
2025-10-16,AXISBANK,1216.9,1197.3,1.62,SHORT,1197.3,1236.5,1138.5,1195.9,1022,358,664,EOD,CLOSED
2025-10-17,BAJFINANCE,1066.4,1056.1,0.97,LONG,1066.4,1045.8,1097.3,1068.35,1599,358,1241,EOD,CLOSED
2025-10-23,AXISBANK,1260.0,1241.3,1.5,LONG,1260.0,1222.6,1316.1,1260.2,139,358,-219,EOD,CLOSED
2025-10-27,BHARTIARTL,2053.9,2030.0,1.17,LONG,2053.9,2006.1,2125.6,2077.8,10181,358,9823,EOD,CLOSED
2025-10-28,BAJFINANCE,1092.4,1076.1,1.5,SHORT,1076.1,1108.7,1027.2,1066.35,7927,358,7569,EOD,CLOSED
2025-10-29,BAJFINANCE,1079.15,1067.2,1.11,SHORT,1067.2,1091.1,1031.35,1066.5,573,358,215,EOD,CLOSED
2025-11-07,BHARTIARTL,2048.0,2008.9,1.93,SHORT,2008.9,2087.1,1891.6,2007.4,652,358,294,EOD,CLOSED
2025-11-10,BAJFINANCE,1073.6,1062.9,1.0,LONG,1073.6,1052.2,1105.7,1080.4,5542,358,5184,EOD,CLOSED
2025-11-12,TCS,3094.4,3057.1,1.21,LONG,3094.4,3019.8,3206.3,3120.5,7360,358,7002,EOD,CLOSED
2025-11-13,INFY,1557.5,1532.1,1.64,SHORT,1532.1,1582.9,1455.9,1550.0,-10221,358,-10579,EOD,CLOSED
2025-11-14,ITC,404.7,400.1,1.14,LONG,404.7,395.5,418.5,404.65,-108,358,-466,EOD,CLOSED
2025-11-17,TCS,3123.5,3091.9,1.02,SHORT,3091.9,3155.1,2997.1,3105.0,-3694,358,-4052,EOD,CLOSED
2025-11-19,INFY,1508.0,1490.5,1.17,LONG,1508.0,1473.0,1560.5,1539.5,18270,358,17912,EOD,CLOSED
2025-11-25,RELIANCE,1553.9,1525.1,1.87,LONG,1553.9,1496.3,1640.3,1550.0,-2196,358,-2554,EOD,CLOSED
2025-11-26,BAJFINANCE,992.9,981.3,1.18,LONG,992.9,969.7,1027.7,1011.9,16739,358,16381,EOD,CLOSED
2025-11-27,BAJFINANCE,1030.4,1010.9,1.91,LONG,1030.4,991.4,1088.9,1036.0,4754,358,4396,EOD,CLOSED
2025-12-04,INFY,1592.0,1568.0,1.52,LONG,1592.0,1544.0,1664.0,1597.8,3184,358,2826,EOD,CLOSED
2025-12-05,BAJFINANCE,1037.5,1026.5,1.07,LONG,1037.5,1015.5,1070.5,1054.0,13910,358,13552,EOD,CLOSED
2025-12-08,BAJFINANCE,1049.8,1036.0,1.32,SHORT,1036.0,1063.6,994.6,1026.4,8102,358,7744,EOD,CLOSED
2025-12-09,RELIANCE,1542.5,1523.9,1.21,SHORT,1523.9,1561.1,1468.1,1532.3,-4822,358,-5180,EOD,CLOSED
2025-12-12,BAJFINANCE,1018.9,1000.0,1.87,LONG,1018.9,981.1,1075.6,1017.9,-858,358,-1216,EOD,CLOSED
2025-12-16,AXISBANK,1277.6,1252.7,1.97,SHORT,1252.7,1302.5,1178.0,1224.4,19753,358,19395,EOD,CLOSED
2025-12-23,BHARTIARTL,2164.0,2134.0,1.4,SHORT,2134.0,2194.0,2044.0,2128.9,2091,358,1733,EOD,CLOSED
2025-12-24,BAJFINANCE,1023.2,1010.0,1.3,LONG,1023.2,996.8,1062.8,1018.4,-4104,358,-4462,EOD,CLOSED
2025-12-29,INFY,1673.1,1658.0,0.91,SHORT,1658.0,1688.2,1612.7,1645.7,6482,358,6124,EOD,CLOSED
2025-12-31,BAJFINANCE,994.2,983.2,1.11,SHORT,983.2,1005.2,950.2,984.0,-711,358,-1069,EOD,CLOSED
