Date,Stock,Entry,SL,Target,Qty,Day,Exit,Exit Reason,Exit Date,P&L,Status
2026-01-02,COALINDIA,427.9,416.17,447.45,1350,5,418.35,DAY5,2026-01-09,-13279,CLOSED
2026-01-05,VOLTAS,1476.8,1421.84,1568.41,375,5,1468.2,DAY5,2026-01-12,-3597,CLOSED
2026-01-06,NATIONALUM,346.7,331.36,372.27,1875,3,331.36,SL,2026-01-09,-29198,CLOSED
2026-02-10,MOTHERSON,129.43,123.12,139.94,6150,5,132.66,DAY5,2026-02-17,19347,CLOSED
2026-02-11,ASTRAL,1592.1,1528.92,1697.4,425,5,1636.6,DAY5,2026-02-18,18467,CLOSED
2026-02-27,PETRONET,323.4,312.3,341.9,1900,1,312.3,SL,2026-03-02,-21499,CLOSED
2026-04-10,ADANIENSOL,1157.9,1092.58,1266.78,675,5,1266.78,TGT,2026-04-20,72982,CLOSED
2026-04-17,ANGELONE,322.47,304.35,352.68,2500,5,314.52,DAY5,2026-04-24,-20399,CLOSED
2026-04-17,SUZLON,52.93,50.41,57.13,9025,5,53.91,DAY5,2026-04-24,8518,CLOSED
2026-04-21,NESTLEIND,1379.9,1327.95,1466.49,500,5,1440.0,DAY5,2026-04-28,29596,CLOSED
2026-04-27,HINDZINC,628.0,600.44,673.94,1225,3,600.44,SL,2026-04-30,-34266,CLOSED
2026-04-27,VBL,518.85,493.93,560.39,1125,5,511.7,DAY5,2026-05-05,-8434,CLOSED
2026-04-28,CROMPTON,269.63,256.12,292.15,1800,5,284.05,DAY5,2026-05-06,25625,CLOSED
2026-04-30,BAJAJ-AUTO,9994.0,9675.68,10524.54,75,4,10524.54,TGT,2026-05-07,39300,CLOSED
2026-05-05,CAMS,797.4,760.68,858.61,750,5,784.65,DAY5,2026-05-12,-9961,CLOSED
2026-05-06,YESBANK,22.13,21.28,23.55,31100,5,22.11,DAY5,2026-05-13,-1075,CLOSED
2026-05-08,NUVAMA,1631.5,1551.75,1764.41,500,2,1551.75,SL,2026-05-12,-40403,CLOSED
2026-05-13,ASIANPAINT,2617.6,2529.37,2764.65,250,5,2598.6,DAY5,2026-05-20,-5183,CLOSED
2026-05-14,CIPLA,1436.7,1382.88,1526.4,375,5,1401.9,DAY5,2026-05-21,-13413,CLOSED
